file_name, split, width, height, width_n, height_n
a2383-050724_194344__I2E5235.dng,train,3522,2348,3522,2348
a2580-20050430_102259__E6B3158.dng,train,3522,2348,3522,2348
a2199-IMG_5108.dng,test,2856,4290,2856,4290
a2606-_MG_1165.dng,train,3522,2348,3522,2348
a2508-kme_104.dng,train,2602,3908,2602,3908
a2300-IMG_5000.dng,train,4290,2856,4290,2856
a2721-IMG_4799.dng,train,4290,2856,4290,2856
a2290-IMG_5037.dng,train,4290,2856,4290,2856
a2780-_DSC5637.dng,train,4284,2844,4284,2844
a2230-20060616_082451__MG_8195.dng,train,2920,4386,2920,4386
a2339-kme_351.dng,train,2482,1648,2482,1648
a2238-LSYD4O2464.dng,train,5010,3335,5010,3335
a2610-IMG_4995.dng,val,4290,2856,4290,2856
a2628-jmac_DSC1033.dng,train,3900,2613,3900,2613
a2613-kme_035.dng,train,2602,3908,2602,3908
a2679-IMG_2443.dng,val,2856,4290,2856,4290
a2665-kme_026.dng,train,2348,3522,2348,3522
a2471-_MG_6887.dng,train,4386,2920,4386,2920
a2713-kme_337.dng,train,3040,2014,3040,2014
a2464-IMG_4075.dng,train,4290,2856,4290,2856
a2786-jmac_DSC2849.dng,val,3040,2014,3040,2014
a2492-_DSC1936.dng,train,4284,2844,4284,2844
a2368-050701_140258__MG_3390.dng,train,3522,2348,3522,2348
a2587-LSCRW_0047.dng,train,3112,2328,3112,2328
a2209-kme_271.dng,test,2348,3522,2348,3522
a2196-DSC_0010.dng,train,3040,2014,3040,2014
a2395-07-11-28-at-11h57m18s-_MG_7567.dng,train,4386,2920,4386,2920
a2174-jmac_DSC3811.dng,train,3040,2014,3040,2014
a2269-2004-06-20 11-44-26 CRW_1610.dng,train,3088,2055,3088,2055
a2387-KE_-1488.dng,train,3040,2014,3040,2014
a2666-IMG_4377.dng,train,4290,2856,4290,2856
a2627-IMG_0043.dng,train,4290,2856,4290,2856
a2182-_MG_1566.dng,train,4386,2920,4386,2920
a2514-JI2E3503.dng,train,2348,3522,2348,3522
